id,name,org,city,country,lat,lon,tier,domain,maturity,charact,ai,scale,invest_musd,invest_label,start,url,sources,blurb
accel,Acceleration Consortium,University of Toronto,Toronto,Canada,43.66,-79.4,national,chemistry,operational,synthesis-only,partial,multi-lab,500,$500M (CFREF+matched),2019,https://acceleration.utoronto.ca/,https://acceleration.utoronto.ca/vision ; https://acceleration.utoronto.ca/facilities,"200-member global consortium anchoring 30+ self-driving labs for sustainable materials and molecules across health, energy, and electronics."
capex,CAPeX Pioneer Center,DTU + 4 universities,Lyngby,Denmark,55.79,12.52,national,energy,operational,advanced-multimodal,strong,national,43,€40M / 13 yrs,2022,https://capex.dtu.dk/,https://dg.dk/en/centers/pioneer-center-for-accelerating-p2x-materials-discovery-capex/ ; https://www.dtu.dk/english/newsarchive/2022/12/power-to-x-center-vil-revolutionere-materialer-til-den-groenne-omstilling,"Danish 13-year Pioneer Center accelerating Power-to-X catalyst and material discovery across DTU, Aalborg, Stanford, SLAC, Utrecht, and Toronto."
bigmap,BIG-MAP / FULL-MAP,Battery2030+ consortium,Brussels,EU,50.85,4.35,national,batteries,operational,advanced-multimodal,strong,pan-european,40,€40M (H2020+HE),2020,https://www.big-map.eu/,https://battery2030.eu/battery2030/projects/big-map/ ; https://www.full-map.eu/ ; https://battery2030.eu/,Battery2030+ flagship Materials Acceleration Platform for battery interfaces. BIG-MAP closed Feb 2024; successor FULL-MAP runs 2025-2029.
doe,US DOE National Labs,DOE (ARPA-E + CHIPS),Washington DC,USA,38.9,-77.04,national,materials,operational,multi-technique,strong,17 labs,140,$140M,2024,https://arpa-e.energy.gov/,https://arpa-e.energy.gov/news-and-events/news-and-insights/us-department-energy-announces-34-million-pair-artificial-intelligence-autonomous-labs-accelerate-catalyst-development-0 ; https://science.osti.gov/,US federal SDL funding through ARPA-E's $40M catalyst programme and CHIPS R&D's $100M semiconductor-materials programme for autonomous chemistry and electronics discovery.
korea500,Korea 500 SDL Initiative,MOTIE AI+R&D Strategy,Seoul,Korea,37.57,126.98,national,cross-domain,operational,multi-technique,strong,national,320,$320M by 2035,2024,https://www.motie.go.kr/en/main.do,https://pubs.rsc.org/en/content/articlelanding/2025/dd/d6dd00024j,"MOTIE's October 2024 AI+R&D Strategy commits Korea to 500 autonomous laboratories by 2030 across nanomaterials, catalysis, organic chemistry, and bioengineering."
nus_ai4s,NUS AI4S · Materials Data Foundry,NRF Singapore · NUS I-FIM + U Toronto,Singapore,Singapore,1.2966,103.7764,national,materials,concept,multi-technique,strong,national · 4 of 8 NUS projects · NUS–Toronto joint lab,120,"S$120M (NRF AI4S, 8 projects)",2026,https://news.nus.edu.sg/ai-for-science-nus-4-ai-based-projects/,https://news.nus.edu.sg/ai-for-science-nus-4-ai-based-projects/,"Singapore's National Research Foundation AI4S programme (launched June 2026); NUS leads four of eight inaugural projects, anchored by the Materials Data Foundry (Novoselov + Aspuru-Guzik, I-FIM) building an open AI-and-robotics autonomous lab to link synthesis protocols to real-world material performance."
aria,UK ARIA AI Scientists,ARIA,London,UK,51.51,-0.13,national,cross-domain,operational,single-technique,strong,national,8,£6M,2025,https://aria.org.uk/,https://aria.org.uk/funding-opportunities/ ; https://aria.org.uk/about-aria/,"ARIA programme funding 12 AI Scientist projects testing autonomous hypothesis-to-experiment systems across drugs, batteries, quantum dots, and biology."
disclabnl,DiscoveryLabNL,NWO LSRI,Eindhoven,Netherlands,51.44,5.48,national,materials,concept,advanced-multimodal,planned,national,30,€30M (planned),2025,https://discoverylabs.nl/,,"Dutch shared infrastructure linking DIFFER and three TU/e institutes for autonomous materials discovery, targeting NWO LSRI submission in 2027."
bigchem,Big Chemistry,"Radboud (lead) + TU/e, Groningen, AMOLF, Fontys",Nijmegen,Netherlands,51.82,5.87,national,chemistry,operational,single-technique,partial,national,97,€96.9M (NGF),2022,https://bigchemistry.nl/,https://www.bigchemistry-nijmegen.nl/ ; https://www.ru.nl/en/research/research-projects/robot-lab-for-big-chemistry-in-the-netherlands,"Dutch National Growth Fund consortium of five institutes (Radboud lead, TU/e, Groningen, AMOLF, Fontys) building AI-guided self-driving labs for sustainable industrial formulations."
diadem,PEPR DIADEM,CNRS + CEA (France 2030),Paris,France,48.86,2.35,national,materials,operational,advanced-multimodal,partial,national,92,€85M / 8 yrs,2022,https://www.pepr-diadem.fr/,https://www.cnrs.fr/en/pepr/emerging-materials-diadem ; https://www.sciencedirect.com/science/article/pii/S2001037024003052,"France 2030 programme run by CNRS, CEA, and seven academic partners, funding 51 projects that fuse AI with synthesis and characterisation across France."
